spkitemid,r1,r2,acc,pron,flu,rhy
4jdu527oq3-LADform2_Speaking_ListenRepeat_UKFemale_Presentations_Set2_09,3,3,-0.911798836,1.3301450558,-0.970274083,-0.713325312
4jdu527oq3-LADform2_Speaking_ListenRepeat_UKFemale_Presentations_Set2_03,4,3,-1.512387042,-2.160536669,-1.239877158,-0.21607448
4jdu527oq3-LADform2_Speaking_ListenRepeat_UKFemale_Presentations_Set2_11,3,2,-1.363400272,0.1335742818,-1.167089658,-0.5744451
4jdu527oq3-LADform2_Speaking_ListenRepeat_UKFemale_Presentations_Set2_00,5,4,1.3272183914,0.3040327381,-0.138588275,1.7644308347
4jdu527oq3-LADform2_Speaking_ListenRepeat_UKFemale_Presentations_Set2_08,2,3,-1.512387042,-5.196431275,-0.733312999,-2.394084826
4jdu527oq3-LADform2_Speaking_ListenRepeat_UKFemale_Presentations_Set2_02,5,5,0.7801823813,0.5933921664,0.1832058334,-0.906859395
4jdu527oq3-LADform2_Speaking_ListenRepeat_UKFemale_Presentations_Set2_04,4,3,-0.482831075,0.827326365,0.150102458,-1.207151852
4jdu527oq3-LADform2_Speaking_ListenRepeat_UKFemale_Presentations_Set2_13,2,3,-0.706526994,-0.044706137,-0.770050325,-0.026831076
4jdu527oq3-LADform2_Speaking_ListenRepeat_UKFemale_Presentations_Set2_07,3,3,-1.080758232,0.7064022294,-0.598279942,-0.3343317
4jdu527oq3-LADform2_Speaking_ListenRepeat_UKFemale_Presentations_Set2_06,4,2,-0.555340661,1.1431806316,1.2002536842,-0.124590691
4jdu527oq3-LADform2_Speaking_ListenRepeat_UKFemale_Presentations_Set2_05,4,3,-0.765473114,-2.988928094,-0.814114269,-0.606999424
4jdu527oq3-LADform2_Speaking_ListenRepeat_UKFemale_Presentations_Set2_12,3,2,-0.846598234,-2.570473341,-0.519949223,-2.26051343
4jdu527oq3-LADform2_Speaking_ListenRepeat_UKFemale_Presentations_Set2_14,2,3,-1.382322636,-0.618287525,-2.093780897,-0.942046037
4jdu527oq3-LADform2_Speaking_ListenRepeat_UKFemale_Presentations_Set2_10,3,2,-1.080758232,0.0593759956,-1.451342835,-0.909186062
4jdu527oq3-LADform2_Speaking_ListenRepeat_UKFemale_Presentations_Set2_01,5,5,-1.155928867,0.1887335047,-1.363935213,0.4388722077
4ludhr9d9n-LADform2_Speaking_ListenRepeat_UKFemale_Presentations_Set2_09,4,3,0.056611449,0.710252332,0.4672042293,0.5186581765
4ludhr9d9n-LADform2_Speaking_ListenRepeat_UKFemale_Presentations_Set2_13,3,4,0.531822422,0.5804751158,0.2290877272,-0.583677875
4ludhr9d9n-LADform2_Speaking_ListenRepeat_UKFemale_Presentations_Set2_05,3,3,0.5051338281,-0.094072822,0.0297528288,0.661739569
4ludhr9d9n-LADform2_Speaking_ListenRepeat_UKFemale_Presentations_Set2_12,4,4,0.2523947293,0.3596273536,0.6289390506,0.6755121433
4ludhr9d9n-LADform2_Speaking_ListenRepeat_UKFemale_Presentations_Set2_08,5,4,0.8955895813,0.5080400887,0.4588255201,1.0629606509
4ludhr9d9n-LADform2_Speaking_ListenRepeat_UKFemale_Presentations_Set2_07,4,4,0.2523947293,0.6051793411,-0.161579557,0.7543928075
4ludhr9d9n-LADform2_Speaking_ListenRepeat_UKFemale_Presentations_Set2_14,3,3,-0.965351032,0.5722886789,-0.606916616,1.18523199
4ludhr9d9n-LADform2_Speaking_ListenRepeat_UKFemale_Presentations_Set2_04,4,4,1.3272183914,0.5045240676,0.1178095331,1.2766102109
4ludhr9d9n-LADform2_Speaking_ListenRepeat_UKFemale_Presentations_Set2_06,5,5,0.9993086573,1.2465691334,1.0158098917,0.6383748205
4ludhr9d9n-LADform2_Speaking_ListenRepeat_UKFemale_Presentations_Set2_03,5,5,1.3272183914,0.766869612,0.1156574478,1.44769271
4ludhr9d9n-LADform2_Speaking_ListenRepeat_UKFemale_Presentations_Set2_01,5,5,0.6957116634,-0.406355266,1.1523411426,2.0547451944
4ludhr9d9n-LADform2_Speaking_ListenRepeat_UKFemale_Presentations_Set2_10,2,1,-0.765473114,-0.039268206,0.2350902016,-0.102324073
4ludhr9d9n-LADform2_Speaking_ListenRepeat_UKFemale_Presentations_Set2_11,2,2,-0.524422139,0.593327264,-0.619785526,0.3232861819
4ludhr9d9n-LADform2_Speaking_ListenRepeat_UKFemale_Presentations_Set2_00,5,5,1.3272183914,-0.918836803,-0.350328035,0.4847575753
4ludhr9d9n-LADform2_Speaking_ListenRepeat_UKFemale_Presentations_Set2_02,5,5,1.3272183914,0.2219189993,1.0471542899,1.3817237279
4pt717i4rg-LADform1_Speaking_ListenRepeat_USMale_CampusTour_Set1_05,1,,-1.080758232,-2.537731698,-0.299378161,0.4333804708
4pt717i4rg-LADform1_Speaking_ListenRepeat_USMale_CampusTour_Set1_10,1,1,-1.208790048,-2.044472125,0.9804745304,-1.982360814
4pt717i4rg-LADform1_Speaking_ListenRepeat_USMale_CampusTour_Set1_14,1,1,-1.403135643,0.2093178943,-0.323842311,0.1438671617
4pt717i4rg-LADform1_Speaking_ListenRepeat_USMale_CampusTour_Set1_06,2,1,-0.333844304,0.9168456612,0.8865241418,0.6819478328
4pt717i4rg-LADform1_Speaking_ListenRepeat_USMale_CampusTour_Set1_13,1,1,-1.396979842,-0.166541782,1.4276906106,1.324581753
4pt717i4rg-LADform1_Speaking_ListenRepeat_USMale_CampusTour_Set1_11,1,1,-1.512387042,0.2376497412,0.162768022,-0.350800466
4q7k9b92d6-LADform2_Speaking_ListenRepeat_UKFemale_Presentations_Set2_11,3,2,0.0761660669,0.9093593373,-0.760211524,-1.262247935
4q7k9b92d6-LADform2_Speaking_ListenRepeat_UKFemale_Presentations_Set2_14,4,3,-0.965351032,0.4334315629,1.3142925965,0.7039740436
4q7k9b92d6-LADform2_Speaking_ListenRepeat_UKFemale_Presentations_Set2_12,2,4,-0.333844304,0.6308330152,-0.49169074,-0.082371434
4q7k9b92d6-LADform2_Speaking_ListenRepeat_UKFemale_Presentations_Set2_10,2,0,-0.926148009,-2.29635811,0.0615553736,-1.035613293
4q7k9b92d6-LADform2_Speaking_ListenRepeat_UKFemale_Presentations_Set2_07,4,3,-0.846598234,0.7954264254,0.3141571515,0.0821691242
4r17pgzrhj-LADform1_Speaking_ListenRepeat_USMale_CampusTour_Set1_13,1,1,-1.278227044,-0.320779269,0.0696210497,-1.32667882
4r17pgzrhj-LADform1_Speaking_ListenRepeat_USMale_CampusTour_Set1_12,1,1,-1.363400272,-0.472534156,0.7454722841,-1.688759597
4r17pgzrhj-LADform1_Speaking_ListenRepeat_USMale_CampusTour_Set1_02,3,3,-1.512387042,0.0647937895,-3.980602632,-0.03419584
4r17pgzrhj-LADform1_Speaking_ListenRepeat_USMale_CampusTour_Set1_14,3,3,-0.808370728,-0.047290569,-0.423106593,-2.289031413
4r17pgzrhj-LADform1_Speaking_ListenRepeat_USMale_CampusTour_Set1_11,2,2,-1.338033722,-0.602601213,-0.458507212,-2.190917076
4r17pgzrhj-LADform1_Speaking_ListenRepeat_USMale_CampusTour_Set1_07,2,3,-0.965351032,0.2196522946,0.2438701045,-0.252444795
4r17pgzrhj-LADform1_Speaking_ListenRepeat_USMale_CampusTour_Set1_08,1,1,-1.512387042,-0.902294561,-2.151559459,-0.172789755
