spkitemid,r1,r2,acc,pron,flu,rhy
4jdu527oq3-LADform2_Speaking_ReadAloudDialog_TTSUSMale_RuinedBook_Set2_01,4,4,-2.828978764,-3.184850613,0.1754840517,-1.139387141
4jdu527oq3-LADform2_Speaking_ReadAloudDialog_TTSUSMale_RuinedBook_Set2_06,3,3,-2.839995742,-2.953470502,-1.986692082,-0.526085617
4jdu527oq3-LADform2_Speaking_ReadAloudDialog_TTSUSMale_RuinedBook_Set2_03,3,2,-1.937305895,-3.107713237,0.0381066303,0.384375448
4jdu527oq3-LADform2_Speaking_ReadAloudDialog_TTSUSMale_RuinedBook_Set2_05,3,4,-1.422420731,-1.089956444,0.1063805734,-1.604157088
4jdu527oq3-LADform2_Speaking_ReadAloudDialog_TTSUSMale_RuinedBook_Set2_02,2,3,-2.4289442,-3.540130624,-1.031567841,-0.02612924
4jdu527oq3-LADform2_Speaking_ReadAloudDialog_TTSUSMale_RuinedBook_Set2_04,4,3,-2.696578759,-3.45435232,-0.332814162,-1.384213856
4ludhr9d9n-LADform2_Speaking_ReadAloudDialog_TTSUSMale_RuinedBook_Set2_02,3,3,0.2013687095,-0.759713805,0.2686324469,0.4167856216
4ludhr9d9n-LADform2_Speaking_ReadAloudDialog_TTSUSMale_RuinedBook_Set2_04,3,3,1.127616939,0.8983967693,1.6930686878,1.979109655
4ludhr9d9n-LADform2_Speaking_ReadAloudDialog_TTSUSMale_RuinedBook_Set2_06,3,3,0.8664254469,0.7511231176,1.1707762114,1.2914776048
4ludhr9d9n-LADform2_Speaking_ReadAloudDialog_TTSUSMale_RuinedBook_Set2_03,4,3,0.8087788972,1.0606167314,0.827490978,1.9250425226
4ludhr9d9n-LADform2_Speaking_ReadAloudDialog_TTSUSMale_RuinedBook_Set2_05,4,3,-0.618602358,-0.065655456,1.6147705618,0.0532223882
4pt717i4rg-LADform1_Speaking_ReadAloudDialog_HumanUSFemale_ShortPaper_Set1_06,3,3,0.0389411259,0.107785244,-0.986550131,-0.474323791
4pt717i4rg-LADform1_Speaking_ReadAloudDialog_HumanUSFemale_ShortPaper_Set1_05,3,4,0.6441625793,0.4148208725,0.5420948209,0.5422616497
4pt717i4rg-LADform1_Speaking_ReadAloudDialog_HumanUSFemale_ShortPaper_Set1_01,3,3,-0.414219355,0.4182693448,0.1996271414,-0.047385476
4pt717i4rg-LADform1_Speaking_ReadAloudDialog_HumanUSFemale_ShortPaper_Set1_04,3,3,0.9994170587,0.6855678685,0.5360781606,0.2694587001
4pt717i4rg-LADform1_Speaking_ReadAloudDialog_HumanUSFemale_ShortPaper_Set1_03,3,3,0.6388281583,0.398719028,0.5331903738,0.5255552856
4pt717i4rg-LADform1_Speaking_ReadAloudDialog_HumanUSFemale_ShortPaper_Set1_02,2,2,0.093135168,0.2351900082,0.3940121438,0.556584146
4q7k9b92d6-LADform2_Speaking_ReadAloudDialog_TTSUSMale_RuinedBook_Set2_06,4,3,-0.752670925,-0.343451383,0.3415017496,0.5872910726
4r17pgzrhj-LADform1_Speaking_ReadAloudDialog_HumanUSFemale_ShortPaper_Set1_05,3,4,-0.52160314,-0.011257551,-0.634783991,0.7231104814
4r17pgzrhj-LADform1_Speaking_ReadAloudDialog_HumanUSFemale_ShortPaper_Set1_02,4,3,0.3812452165,0.4795784451,-0.86076665,0.6477733514
4r17pgzrhj-LADform1_Speaking_ReadAloudDialog_HumanUSFemale_ShortPaper_Set1_04,3,4,0.1865927537,-0.136966746,-1.004354165,1.2376060815
4r17pgzrhj-LADform1_Speaking_ReadAloudDialog_HumanUSFemale_ShortPaper_Set1_03,3,4,-0.042577813,-0.157806623,-0.077216055,1.0608155755
4r17pgzrhj-LADform1_Speaking_ReadAloudDialog_HumanUSFemale_ShortPaper_Set1_01,3,4,-0.576642831,-0.047081168,0.0084446275,1.3484113101
4r17pgzrhj-LADform1_Speaking_ReadAloudDialog_HumanUSFemale_ShortPaper_Set1_06,3,4,-0.164202816,-0.333250768,-2.269312288,-0.162516107
4upzrcp2va-LADform1_Speaking_ReadAloudDialog_HumanUSFemale_ShortPaper_Set1_04,4,4,1.7331499678,1.2881547297,1.3819059064,-0.244506764
